,brand,model,screen_size(Inches),cpu,ram(GB),operating_system,rating,price($)
2048,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2049,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2052,Alienware,AWm15-7806SLV-PUS,15.6,Core i7 Family,16,Windows 10 Home,4.3,1699.95
2064,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2065,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2067,Lenovo,IdeaPad 330,15.6,Celeron N,4,Windows 10,3.7,248.88
2068,Dell,Precision 7550,15.6,Corei7-10750H,16,Windows 10 Pro,3.1,1699.95
2069,Dell,G3 Gaming,15.6,Core i5,8,Windows 10,3.8,989.0
2070,Toughbook,cf-31 hzardour locations,13.0,Core i5-655K,16,Windows 10 Home,5.0,595.97
2082,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2083,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2086,Dell,G15 5525 Laptop,15.6,AMD Ryzen 7,16,Windows 11 Pro,5.0,1488.13
2087,Dell,7400,14.0,Core i7 Family,16,Windows 10 Pro,3.4,1549.0
2089,Dell,Latitude 7320 Detachable 2-in-1,13.0,Core i5,8,Windows 11 Pro,4.6,750.74
2093,HP,HP Envy,15.6,AMD Ryzen 7,16,Windows 11 Home,4.1,999.99
2096,Dell,Inspiron,15.6,Core i3,4,Windows 8.1,4.1,259.0
2097,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2098,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2105,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2106,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2109,lenovo,Lenovo Thinkpad,12.5,Core i7 4600U,8,Windows 8,3.1,469.99
2110,ASUS,VivoBook S15 S532,15.6,Intel Core i5,8,Windows 10 Home,4.4,1199.0
2112,Apple,MacBook Pro 13-inch,13.3,Core i5,8,Mac OS,4.5,689.95
2117,ASUS,ROG Strix Scar III G531GV,15.6,Intel Core i7,16,Windows 10 Home,4.4,2799.0
2118,HP,Laptop,17.0,Core i5,8,Windows 11,4.9,589.0
2121,MSI,Modern 14 B11MOU-1212,14.0,Core i3,8,Windows 11 Home,5.0,535.88
2125,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2126,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2140,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2141,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2146,Lenovo,Chromebook,11.6,Celeron,4,Chrome OS,5.0,407.88
2148,ASUS,UX363JA-XB71T,13.3,Intel Core i5,1,Windows 10 Pro,3.5,1499.0
2152,Dell,Dell Inspiron,15.6,Core i5,8,Windows 10 Home,3.3,660.0
2153,Apple,MacBook Pro,14.0,Apple M1,32,Mac OS,4.5,2611.35
2154,Dell,XPS 13 9380,13.3,Core i5 Family,8,Windows 10 Home,3.7,1179.81
2155,Dell,XPS 9520 Laptop,15.6,Core i7,64,Windows 11 Pro,5.0,1788.99
2157,acer,Acer Swift X Laptop,14.0,AMD R Series,16,Windows 10,4.5,999.0
2158,Dell,Dell Latitude 5520 Laptop,15.0,Core i7,16,Windows 10 Pro,5.0,1715.99
2159,ASUS,ROG Strix SCAR II,17.3,Core i7,16,Windows 10 Home,4.2,2299.0
2163,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2164,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2167,Dell,Latitude E6410,14.1,Core i5,4,Windows 7,4.1,149.95
2169,ASUS,GM501GM-WS74,15.6,8032,16,Windows 10 Pro,3.7,1999.0
2177,Dell,63P78,14.0,Intel Core i7,16,Windows 10 Pro,3.6,1899.0
2179,Lenovo,Yoga 910,14.0,Core i7 7500U,8,Windows 10,3.6,1299.0
2180,MSI,GE66 Raider 10SGS-288,15.6,Core i7,32,Windows 10 Home,4.4,3299.0
2181,HP,HP Pavilion x360,14.0,Core i5,8,Windows 10,4.4,586.14
2185,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2186,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2191,Dell,Precision 7770 Laptop,17.3,Core i7,32,Windows 11 Pro,5.0,1689.18
2196,Dell,Precision 7760 Laptop,17.3,Core i7,32,Windows 11 Pro,5.0,2992.63
2197,Alienware,Dell Alienware Area 51M,17.3,Unknown,32,Windows 10,4.0,3495.0
2199,Gigabyte,AERO 17 XE5-73US738HP,17.3,Intel Core i7,16,Windows 11 Pro,3.5,2999.0
2200,Dell,Latitude 7420,14.0,Core i5,8,Windows 10 Pro,2.6,889.99
2201,Dell,Dell XPS 15 7590 Laptop,15.6,Core i7,32,Windows 10 Pro,3.7,1399.95
2205,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2206,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2210,Lenovo,Lenovo Thinkpad,14.0,Core i5,8,Windows 10 Pro,1.0,499.0
2218,Lenovo,T420,14.0,Core i5,4,Windows 7,3.9,119.0
2219,Dell,Dell Latitude 5520,15.6,Intel Core i5,32,Windows 11 Home,4.2,1037.99
2223,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2224,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2227,Gigabyte,AORUS 15G XC-8US2430SH,15.0,Intel Mobile CPU,32,Windows 10 Home,4.1,1199.99
2231,ASUS,ROG Strix G15,15.6,Corei7-10750H,16,Windows 10 Home,4.4,1229.99
2241,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2242,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2246,Latitude,E7440,14.0,Core i5,8,Windows 10,2.7,133.55
2249,Dell,Latitude 3340,13.3,Core i3,4,Windows 7 Professional,3.3,198.98
2250,Lenovo,Lenovo ThinkBook Plus,13.3,Core i7,16,Windows 10 Pro,1.0,999.99
2255,Dell,Latitude 5420,14.0,Core i5 Family,64,Windows 11 Pro,4.5,988.99
2257,Dell,Dell Latitude,12.0,Core i7 6600U,8,Windows 10 Pro,4.0,899.99
2265,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2266,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2269,Alienware,R1,15.6,Core i7 Family,16,Windows 10,3.9,2699.0
2270,MSI,GS66 Stealth 10UE-498,15.6,Core i7 Family,32,Windows 10 Home,3.7,2599.0
2275,Lenovo,X230,12.5,Core i5,4,Windows 7 Professional,3.6,899.99
2278,Dell,Dell XPS 13 9300,11.6,Unknown,8,Windows 10,3.0,1012.84
2285,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2286,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2290,hp,HP Omen,15.6,Corei7-10750H,16,Windows 10,4.5,1999.0
2292,Dell,Alienware X17 R2 Laptop,17.3,Core i9,32,Windows 11 Home,5.0,2931.99
2296,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2297,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2300,Lenovo,Lenovo Thinkpad,14.0,Core i7,24,Windows 10 Pro,3.7,1599.0
2301,LG,14T90P-K.AAB9U1,14.0,Core i7 Family,16,Windows 11 Home,4.1,1635.99
2307,Dell,Dell Inspiron,17.3,Core i7,16,Windows 10 Home,4.5,1699.0
2315,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2316,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2322,SAMSUNG,Galaxy Book Odyssey,15.6,Intel Core i7,16,Windows 11 Home,4.7,2388.42
2323,Alienware,AWm15-7830SLV-PUS,15.6,Core i7 8750H,16,Windows 10 Home,4.1,1799.95
2326,Lenovo,ThinkPad,14.0,Core i5-5200U,8,Windows 10,3.3,374.99
2332,Dell,Latitude,14.0,Core i5,16,Windows 11 Pro,5.0,841.99
2337,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2338,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2341,Dell,Latitude 7430 Laptop,14.0,Core i7,16,Windows 11 Pro,4.0,941.99
2344,Dell,XPS 15 7590,15.6,Intel Core Duo,32,Windows 10 Pro,3.0,1599.95
2350,Dell,Precision,15.6,Core i7 Family,16,Windows 10,1.0,1399.95
2352,Dell,Inspiron 5425 Laptop,14.0,AMD Ryzen 7,16,Windows 11 Home,5.0,800.19
2355,Razer,Blade 15,15.6,Corei7-10750H,16,Windows 10 Home,4.2,3099.0
2360,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2361,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2366,Dell,Dell-7855-G7-512SSD,15.6,Core i7,16,Windows 10 Home,5.0,1799.0
2367,Lenovo,Lenovo 17.3 L,17.3,Ryzen 3 1300X,8,Windows 10,4.7,686.9
2368,ASUS,ASUS Rog Zephyrus,15.6,Corei7-10875H,16,Windows 10 Pro,3.5,1999.99
2377,ASUS,ZenBook 14,14.0,Intel Core i5,8,Windows 10 Home,4.3,1099.0
2382,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2383,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2386,Lenovo,Lenovo Ideapad,15.6,AMD Ryzen 7,8,Windows 10,3.9,599.0
2388,Lenovo,ThinkPad T14 G1,14.0,Core i7,16,Windows 10 Pro,3.5,695.77
2393,Dell,AWm17-7296WHT-PUS,17.3,Corei7-10750H,16,Windows 10 Home,4.4,2395.0
2394,acer,CB315-1HT,15.6,Celeron N3350,4,Chrome OS,3.9,258.9
2395,Dell,Dell Latitude 5520,15.6,Core i5,32,Windows 10 Pro,4.0,1038.28
2396,ASUS,ROG Strix Scar 15,15.6,Ryzen 9,32,Windows 10 Pro,4.1,2099.99
2401,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2402,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2406,Dell,Inspiron 3515,15.6,AMD R Series,8,Windows 10 Home,5.0,1012.99
2420,Dell,Dell XPS,13.3,8032,16,Windows 10 Pro,5.0,1275.81
2424,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2425,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2428,HP,Elite Dragonfly,13.3,Intel Core i5,16,Windows 10 Pro,4.3,1341.77
2440,Dell,Dell Latitude,13.3,8032,8,Windows 10,3.2,963.72
2444,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2445,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2458,HP,HP Pavilion,15.6,Core i5,6,Windows 10,3.3,399.0
2461,Dell,Latitude 5330,13.3,Core i7 Family,16,Windows 11 Pro,5.0,1699.0
2470,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2471,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2476,Dell,Latitude,15.6,Core i5,8,Windows 10 Pro,5.0,1293.59
2478,HP,1FX81UT#ABA,11.6,8032,2,Unknown,4.2,228.0
2482,Dell,Dell XPS,15.6,Intel Core M-5Y10 Processor,32,Windows 10,5.0,1799.95
2483,HP,2K2Z1US#ABA,15.6,Intel Core i7,64,Windows 10 Pro,5.0,2499.0
2491,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2492,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2497,Dell,Vostro 3510,15.6,Core i5,16,Windows 10 Pro,5.0,751.06
2498,ASUS,UX461UN-DS74T,14.0,Intel Core i7,16,Windows 10 Home,3.5,1799.0
2509,HP,HP ENVY Laptop 13-aq0005nr,13.3,Intel Core i7,8,Windows 10 Home,4.1,1399.0
2514,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2515,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2521,Lenovo,20FN002JUS,14.0,Core i5,4,Windows 10 DG Windows 7 Pro 64,3.7,750.0
2525,Dell,XPS7390-7954SLV-PUS,13.4,Core i7-1065G7,32,Windows 10 Home,4.0,1799.0
2527,HP,16T-F100,16.0,Core i7 Family,16,Windows 11 Pro,5.0,1899.0
2533,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2534,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2546,ASUS,GU502LV-BI7N8,15.6,Corei7-10750H,16,Windows 10,3.4,2299.0
2548,MSI,GS75 STEALTH-242,17.3,Core i7,32,Windows 10 Home,5.0,3399.0
2550,acer,Acer Swift,15.6,Ryzen 7 2700U,8,Windows 10 Home,4.0,1399.0
2555,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2556,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2558,Dell,Dell Inspiron,15.6,Celeron N4020,8,Windows 10,4.2,877.99
2559,Dell,G15,15.6,AMD Ryzen 7,32,Windows 10 Home,3.7,1429.99
2561,Dell,V3500,15.6,Core i7 Family,16,Windows 10,4.0,943.69
2563,Lenovo,Lenovo Ideapad,14.0,Pentium,4,Windows 10,3.3,377.91
2567,ASUS,UX533FD-DH74,15.6,Core i7,8,Windows 10 Home,4.0,1999.0
2571,Dell,Inspiron,15.6,Core i5 Family,16,Windows 11 Home,3.5,649.99
2576,SHOXLAB,M17R3,17.3,Corei7-10750H,32,Windows 10,4.7,2299.95
2583,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2584,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2587,ASUS,ROG Zephyrus S GX701,17.3,Core i7,16,Windows 10 Pro,4.0,3399.0
2588,Dell,5401,14.0,Core i5 Family,8,Windows 10 Pro,5.0,1499.0
2589,Dell,7404-i5-8-256-1.9-W10P,14.0,Intel Core i5-4200U,8,Windows 10 Pro,3.7,899.95
2597,GizPro,HP EliteBook,14.0,Core i7,32,Windows 10 Pro,2.5,2699.0
2602,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2603,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2606,ASUS,ASUS VivoBook,15.6,Core i5 Family,8,Windows 10,5.0,1199.0
2608,Dell,3593,15.6,Core i3 Family,16,Windows 11 Home,4.5,508.99
2609,HP,Spectre,16.0,Core i7 Family,16,Windows 11 Home,1.0,1351.42
2610,HP,3V2U0UT#ABA,14.0,Intel Celeron D,4,Chrome OS,4.0,473.22
2615,Dell,Dell Inspiron,15.6,Celeron N,16,Windows 10 Home,3.6,919.99
2617,MAINGEAR,Vector pro,17.3,Core i7,32,Windows 10,3.7,2000.07
2621,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2622,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2628,Dell,Precision 5550 Laptop,15.6,Core i7,16,Windows 10 Pro,5.0,2500.0
2629,Dell,Dell Latitude,15.6,Core i5,8,Windows 10 Pro,1.0,959.99
2631,Dell,Dell Inspiron,16.0,Core I7 11800H,32,Windows 10 Home,3.7,1599.0
2633,Dell,Dell XPS 13 9380,13.3,Intel Core i7,8,Windows 10 Home,3.9,1087.37
2637,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2638,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2640,Dell,Latitude 7320 Detachable 2-in-1,13.0,Core i7,16,Windows 10 Pro,5.0,1568.39
2648,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2649,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2652,acer,PT515-51-75L8,15.6,Core i7,16,Windows 10 Home,3.9,3399.0
2653,Dell,Inspiron 3515,15.6,Ryzen 5,12,Windows 11 Pro,4.5,981.99
2657,Lenovo,ThinkPad E590,15.6,Core i7 8550U,16,Windows 10,4.5,749.95
2670,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2671,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2674,SHOXLAB,M15R5,15.6,Ryzen 9,32,Windows 11,4.0,1479.0
2676,Lenovo,Yoga,15.6,Core i5-10210U,8,Windows 10 Home,1.0,714.0
2677,ASUS,ROG Zephyrus S GX531,15.6,Core i7,16,Windows 10 Pro,3.8,3499.99
2681,acer,Acer 13.3inch Chromebook,13.3,MediaTek_MT8127,4,Chrome OS,4.5,209.99
2685,Dell,Dell Latitude,14.0,Core i7,16,Windows 10 Pro,1.0,1195.0
2691,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2692,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2694,Lenovo,82R70000US,14.0,Core i7,16,Windows 11,3.0,869.99
2696,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2697,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2700,Dell,Precision 5000,15.6,Core i5,8,Windows 10 Pro,5.0,1385.56
2701,Dell,XPS9365-7086SLV-PUS,13.3,Core i7,16,Windows 10 Home,3.1,1299.99
2703,Dell,Latitude,14.0,Core i5 Family,16,Windows 11 Pro,1.0,1222.99
2709,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2710,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2718,Dell,Inspiron 15 5000,15.6,Core i5,8,Windows 10,3.8,899.81
2723,Lenovo,Lenovo Ideapad,15.6,Core i5,8,Windows 10,4.0,550.0
2728,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2729,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2732,Dell,Precision,15.6,Core i7 Family,64,Windows 10 Pro,5.0,1799.81
2734,Dell,XPS 9320 Laptop,13.4,Core i7,16,Windows 11 Pro,5.0,1304.99
2738,Lenovo,Touch,14.0,Ryzen 5 3500U,8,Windows 10 Home,3.6,699.0
2742,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2743,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2745,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2746,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2749,Lenovo,Lenovo Thinkpad,15.6,Core i7,16,Windows 10 Pro,5.0,1799.99
2751,Gigabyte,G5 GD-51US123SH,15.6,Intel Mobile CPU,16,Windows 10 Home,3.6,698.25
2754,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2755,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2757,ASUS,ASUS X551CA-HCL1201L,15.6,Celeron,4,Windows 8,4.3,380.09
2758,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2759,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2772,Dell,XPS 9520 Laptop,15.6,Core i7,32,Windows 11 Home,5.0,1680.99
2779,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2780,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2782,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2783,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2795,Lenovo,ThinkPad,14.0,Core i5,8,Windows 10 Pro,4.8,1999.0
2799,Dell,Dell Latitude,14.1,Core i7,8,Windows 10 Pro,4.0,389.0
2803,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2804,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2806,Dell,Dell Latitude 7000 E7470,14.0,Core i7,16,Windows 10 Pro,2.8,524.0
2807,Lenovo,Lenovo Thinkpad,15.6,Core i7-4700MQ,16,Windows 10 Pro,2.5,422.0
2808,Dell,Vostro,14.0,Core i5,64,Windows 11 Pro,3.0,1381.99
2809,hp,HP Spectre,13.3,Core i7-10510U,16,Windows 10 Home,4.7,2499.0
2810,HP,Elite Dragonfly,13.3,Intel Core i5,16,Windows 10 Pro,5.0,2299.0
2819,Tocosy,LAPTOP T12,11.6,Atom Z8350,4,Windows 10,5.0,229.0
2820,Lenovo,ThinkPad T440p,14.0,Core i5,8,Windows 7,3.4,399.0
2824,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2825,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2827,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2828,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2831,Dell,XPS 9520 Laptop,15.6,Core i7,16,Windows 11 Pro,3.3,1752.99
2835,MSI,WS66 10TMT-207,15.6,Core i9,64,Windows 10 Pro,4.7,7399.0
2837,HP,Pavilion,15.0,Core i7,32,Windows 11 Pro,5.0,1299.0
2839,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2840,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2842,Dell,Dell Latitude,15.6,Core i5,8,Windows 10 Pro,5.0,210.0
2843,HP,ZBook Fury 15 G8,15.6,Core i9,64,Windows 10 Pro,1.0,4999.0
2845,Dell,XPS 13,13.3,Core i7,8,Windows 8,3.4,999.0
2846,Dell,XPS,13.3,Core i5,8,Windows 10,3.6,899.81
2855,HP,HP Pavilion 16,16.1,Core i7,32,Windows 10 Pro,3.0,2299.0
2859,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2860,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2864,Dell,XPS 9315 Laptop,13.4,Core i7,16,Windows 11 Home,4.0,1041.99
2865,HP,HP Omen,15.6,Ryzen 7 4800H,16,Windows 10 Home,4.1,1999.0
2868,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2869,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2872,Dell,XPS,15.6,Intel Core i9,64,Windows 10 Home,3.5,2860.99
2874,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2875,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2879,Dell,Latitude,14.0,Core i5 Family,32,Windows 11 Pro,1.0,1328.99
2881,Gigabyte,A5 X1-CUS2130SB,15.6,AMD Ryzen 9 5900X,16,Windows 11 Home,4.0,1749.0
2888,HP,HP ProBook,15.6,Core i5,16,Windows 10 Pro,5.0,899.0
2892,Dell,Precision 7560 Laptop,15.6,Core i7,32,Windows 11 Pro,1.0,2061.99
2896,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2897,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2902,Dell,Latitude 15 5000 e5570,15.6,Core i5,4,Windows 7 Professional,5.0,260.0
2903,Dell,G15 5525 Laptop,15.6,AMD Ryzen 7,16,Windows 11 Home,5.0,1386.99
2904,HP,Spectre 14T x360,13.5,Core i7 Family,16,Windows 11 Pro,4.1,2199.0
2907,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2908,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2914,Dell,Inspiron,15.6,Celeron N4020,16,Windows 11 Pro,3.6,888.99
2918,MSI,PRESTIGE15A211,15.6,Core i7,32,Windows 10 Pro,4.0,2699.0
2921,MSI,Creator Z16 Fujiwara Hiroshi Limited Edition A11UE-226,16.0,Core i7,16,Win 10 Pro / Free upgrade to Win 11,5.0,1979.0
2925,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2926,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2928,Dell,Dell XPS,15.6,Core i9,16,Windows 10 Pro,3.4,1999.0
2936,Dell,Latitude Rugged 5424 Laptop,14.0,Core i7,32,Windows 10 Pro,5.0,1599.99
2944,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
2945,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
2949,Alienware,Alienware 15,15.6,Core i5,8,Windows 8,3.4,999.95
2951,Alienware,Alienware m15,15.6,Core i7 Family,16,Windows 10 Home,4.1,1199.95
